uid,uname,出度,入度,所涉领域,是否认证,认证原因,关注数,粉丝数,微博数,简介,标签,地址,性别,主页,生日,注册时间,公司,学校,cluter_result
1922542315,西藏昌都人韩红,8,46164,1,True,歌手韩红,39,16000751,278,དབྱངས་ཅན་生命不息，爱洒大地...有生之年，感恩永远...,,,,,,,,,1
1720173771,M大王叫我来巡山,201,17672,2,False,,699,8419943,71535,男的/爱吃甜食的温柔毒舌/ Q群：436997094/每条转发都是吐槽/异性恋/伦敦靴子/日娱杂食/歌词太郎/头像即本人,"日娱,枪迷十年,家用机掌机迷,大龄少年,立派社会人,毒舌LV5,料理LV5,乙男,ACG,本格推理",海外,男,,33071,40265,,,2
3948457331,俞佩尔,10,17140,1,True,知名情感博主,673,1200270,1896,,,其他,女,,34051,41626,,,1
1851455942,陈猿猿李狮狮,237,14749,2,False,,1950,437087,63011,《红楼梦》的开头是夹雨村随便判了葫芦案，结局是整个夹府被抄了。,,其他,女,,,40464,,,1
5822334131,我是落生,175,13197,2,True,知名运动博主头条文章作者,275,627315,7944,女性主义者，纯属个人观点；只是自己喜欢健身,"非女权,健身,跑步,发呆,写手,旅行,流浪",其他,男,,,42376,,,4
1618051664,头条新闻,10,12316,5,True,24小时播报热点资讯,1599,100292961,196715,每日播报全球各类重要资讯、突发新闻，全天24小时即时发布。欢迎报料、投稿，请发私信或者邮件：xlttnews@v...,机构自媒体-IT互联网,,,,,,,,4
3973989639,字幕少女,123,11845,2,True,知名综艺博主微博译制视频博主,239,2306271,6514,好莱坞综艺译制,"美剧重症患者,欧美综艺",北京 朝阳区,女,,41640,41649,,,3
2656274875,央视新闻,2,11007,5,True,中央电视台新闻中心官方微博,2710,114864924,136968,“央视新闻”微博是中央电视台新闻中心官方微博，是央视重大新闻、突发事件、重点报道的首发平台。,电视-电视频道-卫视,,,,,,,,4
2803301701,人民日报,3,10914,5,True,《人民日报》法人微博,3057,122970006,126680,人民日报法人微博。参与、沟通、记录时代。,报纸-机关报,,,,,,,,4
1645578093,南风窗,5,9658,2,True,南风窗官方微博,554,5373953,37943,中国最具影响力的新闻杂志。创刊于1985年，核心价值观为“理性、良知、责任”，杂志使命即“为了公共利益”。,杂志-时政新闻,,,,,,,,4
1727006174,夏目家的小诗哥,183,9466,1,True,娱乐博主,988,5421089,46610,B站Up主：荔枝王子|有趣资讯转发站|少年音小唱见|合作请私信,"日语翻唱歌手,ACG,甜食系男子,索尼大法好,专注打野30年,请投喂炸鸡排,毒舌抖S,金融业,家用掌机控,处女男",海外 日本,男,,32386,40276,,,3
1813359803,JoannaBlue,156,9244,2,True,知名历史博主,391,789552,11136,天才与奇葩辈出的巴洛克时代,"宫廷史,凡尔赛,欧洲服饰史,西欧艺术,影视剧",海外,女,,,40428,,,3
3974469906,辣条娘,209,8764,1,True,动漫资讯博主知名娱乐博主,2254,1853731,59857,"【分享美好的事物，转发有趣的东西٩(ˊᗜˋ*)و】吐槽什么的不要在意细节，我这颗安利你不吃吗(,´,▽,`,)ﾉ","搬运,日推,二次元,动漫,机智",北京,女,,,41648,,,3
1306934677,梁钰stacey,86,8361,2,True,灵山慈善基金会“姐妹战疫安心行动”公益项目发起人,,,,vx：予她同行standbyher,,上海,女,,353,40223,,,0
1851888853,陈折折,63,8354,2,True,设计美学博主,600,32740,3330,生活不易，多才多艺ಠ_ಠ,,其他,女,,天蝎座,40490,,,1
5601768784,马玉兰还在害人,28,8176,1,False,,530,1191099,12483,欧拉欧拉欧拉欧拉欧拉欧拉欧拉！！！,,其他,女,,36526,42128,,,1
1197402387,Isekisi里的旋转小字,42,8155,1,False,,914,86280,6639,"（私信暂关）我还没养猫，我不能投降，那个号:,旋转小字",,其他,女,,水瓶座,40278,,,1
1748852693,苍南派,46,7895,2,True,微博2017、2018、2019十大影响力人气大V,599,11227955,16622,【@芒大脸老公、@芒小苍爸爸】,,浙江 温州,男,,天秤座,40329,,温州大学,0
1785951595,鲍律师,2,7313,1,True,中美执业律师，新闻集团NDS中国法务负责人/北京泰德律师所合伙人,26,18768,2466,没做亏心事，不怕鬼叫门；人间有正道，玩火必自焚！勿让舆论左右司法，严防谁闹谁有理！任抹黑者狂舞，辩白者嘘声？不在沉默中爆发，就在沉默中死亡！,,北京,男,,,40393,,,0
5585316677,青春有你2-镜仔,63,7250,2,False,,820,661903,8793,备战模式,,其他,女,,37585,42105,,,1
1644114654,新京报,2,7161,5,True,新京报官方微博,2379,43511725,119538,一份以责任为灵魂的报纸；一份致力于记录时代步伐的报纸；一份进步、美好的报纸。新京报，品质源于责任。,报纸-都市报,,,,,,,,4
1887344341,观察者网,4,6645,5,True,观察者网(www.guancha.cn)官方微博,1243,15371569,120777,商务合作：market@guancha.cn或加QQ：2920915625,媒体网站,,,,,,,,4
1768321020,马库斯说,165,6638,2,True,头条文章作者微博签约自媒体,418,220363,52261,stalking，权力关系不对等性侵，暴力由结果罪变更行为罪，男女平等就业教育立法，男女同时长育儿假。接受性别歧视广告，言论投稿,"旅游,家居,历史,书法绘画,财经金融",海外,女,,25569,40359,,,3
7330604031,史嘉莎,3,6626,1,False,,25,114898,98,希望树活着,,重庆,女,,35943,43768,,成都理工大学,2
1974561081,网易财经,0,6534,3,True,网易财经官方微博,962,3128992,114745,有态度、有速度、有力度，重大财经新闻第一时间播报；独家采访/访谈、独家策划第一时间通告。关注我吧！欢...,其它,,,,,,,,4
6481510219,北国佳人李春姬,74,6317,2,False,,105,784891,10827,一个受尽苦难的单身母亲,,安徽,男,,31151,43139,,,2
5044281310,澎湃新闻,0,6195,5,True,澎湃新闻，专注时政与思想的媒体开放平台,659,26677265,76697,有内涵的时政新媒体,新媒体-移动媒体,,,,,,,,4
5533018793,小奶球,27,6095,2,True,微博故事红人微博幽默博主微博vlog博主,725,2202860,6009,中国唯一的精神贵族,,北京,女,,,42058,,,0
2372328205,_海洛,131,5923,2,False,,891,6666,9238,画画的BreezeWong | LOFTER:BREEZEWONG | 爱发电afdian.net/@breezewong,,其他,女,,,40807,,,1
3816763577,快递员吴彦祖,50,5922,2,True,知名搞笑幽默博主,455,3688016,20254,查看我的原创内容（主页-筛选-原创微博）,搞笑幽默,广东 深圳,男,,天蝎座,41541,,,0
